name,manufacturer,price,speed,ramType,speedMHz,formFactor,moduleCount,capacityGBs,color,casLatency,firstWordLatency,voltage,isECC,isRegistered,hasHeatSpreader,URL
G.Skill Ripjaws V 16 GB,G.Skill,$109.99 ,DDR4-3600,DDR4,3600,DIMM,2,16,Black,16,8.889,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/jBZzK8/gskill-ripjaws-v-16-gb-2-x-8-gb-ddr4-3600-memory-f4-3600c16d-16gvkc
Kingston FURY Beast 64 GB,Kingston,$659.99 ,DDR5-6000,DDR5,6000,DIMM,2,64,Black,30,10,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/3jFmP6/kingston-fury-beast-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-kf560c30bbek2-64
G.Skill Ripjaws V 64 GB,G.Skill,$1789.57+,DDR4-3200,DDR4,3200,DIMM,4,64,Black,14,8.75,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/rVwqqs/gskill-memory-f43200c14q64gvk
TEAMGROUP T-Force Vulcan 32 GB,TEAMGROUP,$419.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,30,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/HNZXsY/teamgroup-t-force-vulcan-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-flbd532g6000hc30dc01
G.Skill Trident Z5 Royal Neo RGB 32 GB,G.Skill,$459.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Silver,28,9.333,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/Hm6NnQ/gskill-trident-z5-royal-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl28-memory-f5-6000j2836g16gx2-tr5ns
Silicon Power GAMING 32 GB,Silicon Power,$189.97 ,DDR4-3200,DDR4,3200,DIMM,2,32,Black,16,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/B8QcCJ/silicon-power-gaming-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-sp032gxlzu320bdaj7
Corsair Dominator Platinum RGB 32 GB,Corsair,$464.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,36,12,1.25,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/YNVmP6/corsair-dominator-platinum-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmt32gx5m2x6000c36
Corsair Vengeance LPX 32 GB,Corsair,$206.99 ,DDR4-3600,DDR4,3600,DIMM,2,32,Black / Yellow,18,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/Yg3mP6/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3600-memory-cmk32gx4m2d3600c18
Crucial CT2K16G56C46U5 32 GB,Crucial,$234.99 ,DDR5-5600,DDR5,5600,DIMM,2,32,Black,46,16.429,1.1,FALSE,FALSE,FALSE,https://pcpartpicker.com/product/6Znypg/crucial-ct2k16g56c46u5-32-gb-2-x-16-gb-ddr5-5600-cl46-memory-ct2k16g56c46u5
Kingston Server Premier 32 GB,Kingston,$366.93+,DDR4-3200,DDR4,3200,DIMM,1,32,N/A,22,13.75,1.2,TRUE,TRUE,FALSE,https://pcpartpicker.com/product/8ynypg/kingston-server-premier-32-gb-1-x-32-gb-registered-ddr4-3200-cl22-memory-ksm32rd832mfr
G.Skill Trident Z RGB 32 GB,G.Skill,$209.99 ,DDR4-3600,DDR4,3600,DIMM,2,32,Black,18,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/fBLwrH/gskill-trident-z-rgb-32-gb-2-x-16-gb-ddr4-3600-memory-f4-3600c18d-32gtzr
Corsair Vengeance 32 GB,Corsair,$395.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,36,12,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/GpNYcf/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmk32gx5m2e6000z36
Corsair Vengeance 128 GB,Corsair,"$1,483.99 ",DDR5-6400,DDR5,6400,DIMM,2,128,Black,42,13.125,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/LPvscf/corsair-vengeance-128-gb-2-x-64-gb-ddr5-6400-cl42-memory-cmk128gx5m2b6400c42
Crucial Pro Overclocking 32 GB,Crucial,$321.99 ,DDR5-6400,DDR5,6400,DIMM,2,32,Black,32,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/xVy8TW/crucial-pro-overclocking-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-cp2k16g64c32u5b
Kingston FURY Beast 16 GB,Kingston,N/A,DDR5-6000,DDR5,6000,DIMM,2,16,Black,30,10,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/vmsV3C/kingston-fury-beast-16-gb-2-x-8-gb-ddr5-6000-cl30-memory-kf560c30bbek2-16
Kingston FURY Beast 32 GB,Kingston,$681.74 ,DDR5-5600,DDR5,5600,DIMM,2,32,Black,36,12.857,1.25,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/qs92FT/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-5600-cl36-memory-kf556c36bbek2-32
Corsair Vengeance RGB 32 GB,Corsair,$441.99 ,DDR5-6000,DDR5,6000,DIMM,2,32,White,30,10,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/C2zp99/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmh32gx5m2b6000z30w
Silicon Power Value Gaming 32 GB,Silicon Power,$335.97 ,DDR5-6000,DDR5,6000,DIMM,2,32,Black,30,10,1.35,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/cCKscf/silicon-power-value-gaming-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-sp032gxlwu60afdeae
G.Skill Ripjaws S5 32 GB,G.Skill,$369.99 ,DDR5-6400,DDR5,6400,DIMM,2,32,Black,32,10,1.4,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/YcZ9TW/gskill-ripjaws-s5-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-f5-6400j3239g16gx2-rs5k
Kingston FURY Beast 8 GB,Kingston,$230.81 ,DDR5-5600,DDR5,5600,DIMM,1,8,Black,40,14.286,1.25,FALSE,FALSE,TRUE,https://pcpartpicker.com/product/tz3gXL/kingston-fury-beast-8-gb-1-x-8-gb-ddr5-5600-cl40-memory-kf556c40bb-8
