name,manufacturer,price,interfaceType,,formFactor,protocol,capacity,capacityGBs,isNVMe,URL
TEAMGROUP T-Force Vulcan Z,TEAMGROUP,$59.99 ,SATA 6.0 Gb/s,,"2.5""",SATA,512 GB,512,FALSE,https://pcpartpicker.com/product/Qg92FT/teamgroup-t-force-vulcan-z-512-gb-25-solid-state-drive-t253tz512g0c101
Kingston Fury Renegade,Kingston,$159.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/QxkWGX/kingston-fury-renegade-1-tb-m2-2280-nvme-solid-state-drive-sfyrs1000g
PNY CS2150,PNY,$99.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/pcfV3C/pny-cs2150-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-m280cs2150-1tb-tb
Acer Predator GM7,Acer,$194.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/4tQKHx/acer-predator-gm7-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-bl9bwwr119
Western Digital WD_BLACK SN7100,Western Digital,$313.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/Dd88TW/western-digital-wd_black-sn7100-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds400t4x0e-00cja0
Western Digital WD Green SN3000,Western Digital,$52.98 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,500 GB,500,TRUE,https://pcpartpicker.com/product/WGfV3C/western-digital-wd-green-sn3000-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds500g4g0e-00cps0
Crucial T705,Crucial,$164.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/bF9wrH/crucial-t705-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct1000t705ssd3
Kingston KC3000,Kingston,$112.92+,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,512 GB,512,TRUE,https://pcpartpicker.com/product/Cy92FT/kingston-kc3000-512-gb-m2-2280-nvme-solid-state-drive-skc3000s512g
Western Digital WD_Black SN850X w/Heatsink,Western Digital,$211.86 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/sfwypg/western-digital-wd_black-sn850x-wheatsink-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t2xhe
Western Digital Green SN350,Western Digital,$154.99 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/BJBG3C/western-digital-green-sn350-2-tb-m2-2280-nvme-solid-state-drive-wds200t3g0c
Crucial P310 w/Heatsink,Crucial,$114.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/mvjv6h/crucial-p310-wheatsink-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct1000p310ssd5
Silicon Power A55,Silicon Power,$58.79 ,SATA 6.0 Gb/s,,"2.5""",SATA,512 GB,512,FALSE,https://pcpartpicker.com/product/LdgzK8/silicon-power-a55-512-gb-25-solid-state-drive-sp512gbss3a55s25
Western Digital Blue SA510,Western Digital,$169.99 ,SATA 6.0 Gb/s,,"2.5""",SATA,2 TB,2000,FALSE,https://pcpartpicker.com/product/v74Zxr/western-digital-blue-sa510-2-tb-25-solid-state-drive-wds200t3b0a
Crucial T700,Crucial,$388.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/xhkH99/crucial-t700-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct4000t700ssd3
Kingston NV3,Kingston,$368.77+,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/qLMMnQ/kingston-nv3-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv3s4000g
Kingston FURY Renegade G5,Kingston,$549.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,4.096 TB,4096,TRUE,https://pcpartpicker.com/product/tjWmP6/kingston-fury-renegade-g5-4096-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-sfyr2s4t0
TEAMGROUP MP44L,TEAMGROUP,$64.98 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,500 GB,500,TRUE,https://pcpartpicker.com/product/WcJgXL/teamgroup-mp44l-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpk500g0c101
Western Digital Blue,Western Digital,$134.99 ,SATA 6.0 Gb/s,,"2.5""",SATA,1 TB,1000,FALSE,https://pcpartpicker.com/product/GTCD4D/western-digital-blue-1tb-25-solid-state-drive-wds100t2b0a
Samsung 850 Evo,Samsung,N/A,SATA 6.0 Gb/s,,"2.5""",SATA,500 GB,500,FALSE,https://pcpartpicker.com/product/FrH48d/samsung-internal-hard-drive-mz75e500bam
Crucial T700,Crucial,$127.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/mVwmP6/crucial-t700-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct1000t700ssd3
PNY CS900,PNY,$117.99 ,SATA 6.0 Gb/s,,"2.5""",SATA,2 TB,2000,FALSE,https://pcpartpicker.com/product/mCjNnQ/pny-cs900-2-tb-25-solid-state-drive-ssd7cs900-2tb-rb
Lexar NM710,Lexar,$176.33+,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/mPXV3C/lexar-nm710-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm710x002t-rnnng
Crucial P510 W/Heatsink,Crucial,$219.37 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/x7sMnQ/crucial-p510-wheatsink-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct2000p510ssd5
Silicon Power A55,Silicon Power,$72.97 ,M.2 SATA,,M.2-2280,SATA,1 TB,1000,FALSE,https://pcpartpicker.com/product/H8xRsY/silicon-power-a55-1-tb-m2-2280-solid-state-drive-su001tbss3a55m28ab
TEAMGROUP MS30,TEAMGROUP,$89.99 ,M.2 SATA,,M.2-2280,SATA,1 TB,1000,FALSE,https://pcpartpicker.com/product/XZhKHx/team-ms30-1-tb-m2-2280-solid-state-drive-tm8ps7001t0c101
Corsair MP600 PRO XT,Corsair,$964.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,8 TB,8000,TRUE,https://pcpartpicker.com/product/8zmmP6/corsair-mp600-pro-xt-8-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-cssd-f8000gbmp600pxt
Kingston FURY Renegade G5,Kingston,N/A,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,8 TB,8000,TRUE,https://pcpartpicker.com/product/3sgZxr/kingston-fury-renegade-g5-8-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-sfyr2d8t1
ADATA LEGEND 900 PRO,ADATA,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/Vckqqs/adata-legend-900-pro-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sleg-900p-1tcs
Western Digital Black SN750,Western Digital,$229.99+,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/QQrmP6/western-digital-wd_black-sn750-1-tb-m2-2280-nvme-solid-state-drive-wds100t3x0c
KingSpec NX-2280,KingSpec,$146.99 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/8DKscf/kingspec-nx-2280-2-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-nx-2280-2tb
SK Hynix Platinum P51,SK Hynix,$269.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/s88Pxr/sk-hynix-platinum-p51-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-skh-p51-2tb
