name,manufacturer,price,series,microarchitecture,coreFamily,socket,coreCount,threadCount,baseClockGHz,boostClockGHz,l2CacheMBs,l3CacheMBs,tdpWatts,integratedGraphics,memoryMaxGBs,supportsEcc,includesCooler,hasSmt,smtType,URL
Intel Core Ultra 5 245K,Intel,$214.99+,Intel Core Ultra 5,Arrow Lake,Arrow Lake,LGA1851,14,14,4.2,5.2,26 MB,24 MB,125,Intel Xe,256 GB,TRUE,FALSE,FALSE,None,https://pcpartpicker.com/product/xNXV3C/intel-core-ultra-5-245k-42-ghz-14-core-processor-bx80768245k
Intel Core i7-14700F,Intel,$299.99 ,Intel Core i7,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,20,28,2.1,5.4,28 MB,33 MB,65,None,192 GB,TRUE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/9jCZxr/intel-core-i7-14700f-21-ghz-20-core-processor-bx8071514700f
AMD Ryzen 5 5600GT,AMD,$149.47 ,AMD Ryzen 5,Zen 3,Cezanne,AM4,6,12,3.6,4.6,3 MB,16 MB,65,Radeon Vega 7,128 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/7XGhP6/amd-ryzen-5-5600gt-36-ghz-6-core-processor-100-100001488box
AMD Ryzen 7 8700G,AMD,$273.00+,AMD Ryzen 7,Zen 4,Phoenix 1,AM5,8,16,4.2,5.1,8 MB,16 MB,65,Radeon 780M,N/A,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/K4vD4D/amd-ryzen-7-8700g-42-ghz-8-core-processor-100-100001236box
AMD Ryzen 9 7950X3D,AMD,$739.99+,AMD Ryzen 9,Zen 4,Raphael,AM5,16,32,4.2,5.7,16 MB,128 MB,120,Radeon,128 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/X6XV3C/amd-ryzen-9-7950x3d-42-ghz-16-core-processor-100-100000908wof
Intel Core i7-9700K,Intel,$247.52+,Intel Core i7,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,8,8,3.6,4.9,2 MB,12 MB,95,Intel UHD Graphics 630,128 GB,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/WtyV3C/intel-core-i7-9700k-36ghz-8-core-processor-bx80684i79700k
Intel Core i5-10400F,Intel,$138.82 ,Intel Core i5,Comet Lake,Comet Lake,LGA1200,6,12,2.9,4.3,1.5 MB,12 MB,65,None,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/vrhmP6/intel-core-i5-10400f-29-ghz-6-core-processor-bx8070110400f
AMD Ryzen 5 8600G,AMD,$188.99 ,AMD Ryzen 5,Zen 4,Phoenix 1,AM5,6,12,4.3,5,6 MB,16 MB,65,Radeon 760M,N/A,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/QqyH99/amd-ryzen-5-8600g-43-ghz-6-core-processor-100-100001237box
Intel Core i5-13400F,Intel,$216.00+,Intel Core i5,Raptor Lake,Raptor Lake,LGA1700,10,16,2.5,4.6,9.5 MB,20 MB,65,None,192 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/VNkWGX/intel-core-i5-13400f-25-ghz-10-core-processor-bx8071513400f
AMD Ryzen 5 2600,AMD,$99.99+,AMD Ryzen 5,Zen+,Pinnacle Ridge,AM4,6,12,3.4,3.9,3 MB,15.99 MB,65,None,64 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/jLF48d/amd-ryzen-5-2600-34ghz-6-core-processor-yd2600bbafbox
