name,Price,manufacturer,Socket,Memory Type,Memory Slots,Form Factor,Memory Max,Chipset,Has Wifi,Color,SATA Ports,M.2 Slots,memoryFormFactor,URL
MSI X299 TOMAHAWK,N/A,MSI,LGA2066,DDR4,8,ATX,256 GB,Intel X299,FALSE,Black / Silver,8,2,DIMM,https://pcpartpicker.com/product/tmtWGX/msi-x299-tomahawk-atx-lga2066-motherboard-x299-tomahawk
ASRock X299 Killer SLI/ac,N/A,ASRock,LGA2066,DDR4,8,ATX,128 GB,Intel X299,TRUE,Black / Silver,8,3,DIMM,https://pcpartpicker.com/product/6DYWGX/asrock-x299-killer-sliac-atx-lga2066-motherboard-x299-killer-sliac
ASRock Fatal1ty X299 Professional Gaming i9,N/A,ASRock,LGA2066,DDR4,8,ATX,128 GB,Intel X299,TRUE,Black / Silver,8,3,DIMM,https://pcpartpicker.com/product/rm98TW/asrock-fatal1ty-x299-professional-gaming-i9-atx-lga2066-motherboard-x299-professional-gaming-i9
Gigabyte GA-B250M-EVO (rev. 1.0),N/A,Gigabyte,LGA1151,DDR4,2,Micro ATX,32 GB,Intel B250,FALSE,Black,4,1,DIMM,https://pcpartpicker.com/product/Vn38TW/gigabyte-ga-b250m-evo-rev-10-micro-atx-lga1151-motherboard-ga-b250m-evo-rev-10
Gigabyte X299 UD4,N/A,Gigabyte,LGA2066,DDR4,8,ATX,128 GB,Intel X299,FALSE,Black / Gray,8,2,DIMM,https://pcpartpicker.com/product/hRjWGX/gigabyte-x299-ud4-atx-lga2066-motherboard-x299-ud4
ASRock Fatal1ty B360 Gaming K4,N/A,ASRock,LGA1151,DDR4,4,ATX,64 GB,Intel B360,FALSE,Black,6,3,DIMM,https://pcpartpicker.com/product/GjNv6h/asrock-fatal1ty-b360-gaming-k4-atx-lga1151-motherboard-b360-gaming-k4
Gigabyte B360 HD3P,N/A,Gigabyte,LGA1151,DDR4,4,ATX,64 GB,Intel B360,FALSE,Silver / Black,6,2,DIMM,https://pcpartpicker.com/product/wqBTwP/gigabyte-b360-hd3p-atx-lga1151-motherboard-b360-hd3p
ASRock H310M-DGS,N/A,ASRock,LGA1151,DDR4,2,Micro ATX,32 GB,Intel H310,FALSE,Black / Silver,4,0,DIMM,https://pcpartpicker.com/product/QRgzK8/asrock-h310m-dgs-micro-atx-lga1151-motherboard-h310m-dgs
Gigabyte H310M S2V,N/A,Gigabyte,LGA1151,DDR4,2,Micro ATX,32 GB,Intel H310,FALSE,Black / Silver,4,0,DIMM,https://pcpartpicker.com/product/K2bwrH/gigabyte-h310m-s2v-micro-atx-lga1151-motherboard-h310m-s2v
ASRock H310M-G/M.2,N/A,ASRock,LGA1151,DDR4,2,Micro ATX,32 GB,Intel H310,FALSE,Black / Silver,4,1,DIMM,https://pcpartpicker.com/product/Y2bwrH/asrock-h310m-gm2-micro-atx-lga1151-motherboard-h310m-gm2
