name,price,manufacturer,interfaceType,requiredPowerConnectors,LengthMm,CaseExpansionSlotWidth,TotalSlotWidth,GraphicsProcessor,VramGBs,MemoryType,CoreClockMHz,BoostClockMHz,TdpWatts,Color,CoolingType,HdmiPortCount,DisplayPortCount,profile,URL
Yeston Sakura Atlantis,$739.00 ,Yeston,PCIe x16,3 x PCIe 8-pin,332,2,4,Radeon RX 9070 XT,16,GDDR6,2400,3060,304,Blue / Pink,3 Fans,1,3,Standard,https://pcpartpicker.com/product/46KnTW/yeston-sakura-atlantis-radeon-rx-9070-xt-16-gb-video-card-rx9070xt-16gd6-oc-ya
Asus ProArt OC,"$1,599.99 ",Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,304,2,3,GeForce RTX 5080,16,GDDR7,2300,2730,360,Black / Gold,3 Fans,1,2,Standard,https://pcpartpicker.com/product/DQ9nTW/asus-proart-oc-geforce-rtx-5080-16-gb-video-card-proart-rtx5080-o16g
Gigabyte WINDFORCE OC,$1299.99+,Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,261,2,3,GeForce RTX 4070 Ti SUPER,16,GDDR6X,2340,2625,285,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/KvcgXL/gigabyte-windforce-oc-geforce-rtx-4070-ti-super-16-gb-video-card-gv-n407tswf3oc-16gd
Gigabyte WINDFORCE OC 3X,N/A,Gigabyte,PCIe x16,1 x PCIe 8-pin + 1 x PCIe 6-pin,280,2,3,GeForce RTX 2070 SUPER,8,GDDR6,1605,1785,215,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/tTCFf7/gigabyte-geforce-rtx-2070-super-8-gb-windforce-oc-3x-video-card-gv-n207swf3oc-8gd
Sapphire PULSE ITX PURE,$227.57+,Sapphire,PCIe x16,1 x PCIe 6-pin,152,2,2,Radeon RX 6500 XT,4,GDDR6,2310,2825,130,White,1 Fan,1,1,Standard,https://pcpartpicker.com/product/g2rp99/sapphire-pulse-itx-pure-radeon-rx-6500-xt-4-gb-video-card-11314-04-20g
ASRock Taichi OC,N/A,ASRock,PCIe x16,3 x PCIe 8-pin,345,3,3,Radeon RX 7900 XTX,24,GDDR6,2300,2680,355,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/tNJgXL/asrock-taichi-oc-radeon-rx-7900-xtx-24-gb-video-card-rx7900xtx-tc-24go
Sparkle GENIE,$157.63+,Sparkle,PCIe x16,None,145,1,2,Arc A380,6,GDDR6,2000,2000,75,Blue,2 Fans,1,2,Standard,https://pcpartpicker.com/product/N2NYcf/sparkle-genie-arc-a380-6-gb-video-card-sa380g-6g
Zotac GAMING Twin Edge OC,$477.00+,Zotac,PCIe x16,1 x PCIe 8-pin,221,2,3,GeForce RTX 4060,8,GDDR6,1830,2490,115,White,2 Fans,1,3,Standard,https://pcpartpicker.com/product/FNyH99/zotac-gaming-twin-edge-oc-geforce-rtx-4060-8-gb-video-card-zt-d40600q-10m
Palit Dual,N/A,Palit,PCIe x16,1 x PCIe 8-pin,262,2,2,GeForce RTX 5060,8,GDDR7,2280,2497,145,N/A,2 Fans,1,3,Standard,https://pcpartpicker.com/product/qZzp99/palit-dual-geforce-rtx-5060-8-gb-video-card-ne75060019p1-gb2063d
PNY VCQP620-PB,$70.00+,PNY,PCIe x16,None,145,1,1,Quadro P620,2,GDDR5,1266,1354,40,Black,1 Fan,0,4,Standard,https://pcpartpicker.com/product/VXQG3C/pny-quadro-p620-2-gb-video-card-vcqp620-pb
MSI VENTUS 2X OC,$689.00+,MSI,PCIe x16,2 x PCIe 8-pin,232,2,3,GeForce RTX 3070,8,GDDR6,1500,1755,220,Black / Silver,2 Fans,1,3,Standard,https://pcpartpicker.com/product/s4H8TW/msi-geforce-rtx-3070-8-gb-ventus-2x-oc-video-card-rtx-3070-ventus-2x-oc
Asus TUF GAMING,$649.99 ,Asus,PCIe x16,1 x PCIe 8-pin,301,2,4,GeForce RTX 4070,12,GDDR6X,1920,2505,200,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/GYgrxr/asus-tuf-gaming-geforce-rtx-4070-12-gb-video-card-tuf-rtx4070-12g-gaming
Sapphire NITRO+,$459.00 ,Sapphire,PCIe x16,1 x PCIe 8-pin + 1 x PCIe 6-pin,260,2,2,Radeon RX 580,8,GDDR5,1257,1411,225,Black,2 Fans,2,2,Standard,https://pcpartpicker.com/product/sF648d/sapphire-radeon-rx-580-8gb-nitro-video-card-11265-01
Asus DUAL,N/A,Asus,PCIe x16,1 x PCIe 8-pin + 1 x PCIe 6-pin,295,2,3,Radeon RX 6700 XT,12,GDDR6,2321,N/A,230,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/V4nypg/asus-radeon-rx-6700-xt-12-gb-dual-video-card-dual-rx6700xt-12g
PowerColor Red Dragon OC,$949.00+,PowerColor,PCIe x16,2 x PCIe 8-pin,310,2,3,Radeon RX 6800 XT,16,GDDR6,1825,2310,300,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/R4tKHx/powercolor-radeon-rx-6800-xt-16-gb-red-dragon-oc-video-card-axrx-6800xt-16gbd6-3dhroc
Zotac GAMING Twin Edge,N/A,Zotac,PCIe x16,1 x PCIe 8-pin,226,2,3,GeForce RTX 4060 Ti,8,GDDR6,2310,2535,160,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/HYNYcf/zotac-gaming-twin-edge-geforce-rtx-4060-ti-8-gb-video-card-zt-d40610e-10m
Gigabyte EAGLE OC,$409.98 ,Gigabyte,PCIe x8,1 x PCIe 8-pin,215,2,2,GeForce RTX 5060 Ti,8,GDDR7,2410,2617,180,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/rPzp99/gigabyte-eagle-oc-geforce-rtx-5060-ti-8-gb-pcie-x8-video-card-gv-n506teagle-oc-8gd
PNY XLR8 Gaming VERTO EPIC-X RGB,$804.00+,PNY,PCIe x16,1 x PCIe 8-pin,305,2,2,GeForce RTX 4070,12,GDDR6X,1920,2475,200,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/JW3NnQ/pny-xlr8-gaming-verto-epic-x-rgb-geforce-rtx-4070-12-gb-video-card-vcg407012tfxxpb1
XFX Speedster QICK 309,N/A,XFX,PCIe x16,2 x PCIe 8-pin,302,2,3,Radeon RX 7600 XT,16,GDDR6,1720,2810,190,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/XxQKHx/xfx-speedster-qick-309-radeon-rx-7600-xt-16-gb-video-card-rx-76tqickbp
PowerColor RX 7900 XT 20G,N/A,PowerColor,PCIe x16,2 x PCIe 8-pin,276,2,3,Radeon RX 7900 XT,20,GDDR6,2000,2400,300,Black,3 Fans,1,2,Standard,https://pcpartpicker.com/product/jhstt6/powercolor-rx-7900-xt-20g-radeon-rx-7900-xt-20-gb-video-card-rx-7900-xt-20g
Asus ROG STRIX GAMING OC,N/A,Asus,PCIe x16,3 x PCIe 8-pin,318,2,3,GeForce RTX 3080 Ti,12,GDDR6X,1365,1845,350,Black / Silver,3 Fans,2,3,Standard,https://pcpartpicker.com/product/HfpzK8/asus-geforce-rtx-3080-ti-12-gb-rog-strix-gaming-oc-video-card-rog-strix-rtx3080ti-o12g-gaming
Intel Limited Edition,N/A,Intel,PCIe x16,1 x PCIe 8-pin + 1 x PCIe 6-pin,250,2,2,Arc A770,16,GDDR6,2100,N/A,225,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/wjt9TW/intel-limited-edition-arc-a770-16-gb-video-card-99ak3t
MSI GAMING X TRIO,$1759.00+,MSI,PCIe x16,1 x PCIe 16-pin 12VHPWR,337,3,3,GeForce RTX 4080,16,GDDR6X,2205,2610,320,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/LKytt6/msi-gaming-x-trio-geforce-rtx-4080-16-gb-video-card-rtx-4080-16gb-gaming-x-trio
Zotac GAMING SOLID OC,$1470.00+,Zotac,PCIe x16,1 x PCIe 16-pin 12VHPWR,330,3,4,GeForce RTX 5080,16,GDDR7,2300,2625,360,Black / Copper,3 Fans,1,3,Standard,https://pcpartpicker.com/product/XHh2FT/zotac-gaming-solid-oc-geforce-rtx-5080-16-gb-video-card-zt-b50800j-10p
Asus PRIME OC,$639.99 ,Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,269,2,3,GeForce RTX 4070 SUPER,12,GDDR6X,1980,2550,220,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/VxzXsY/asus-prime-oc-geforce-rtx-4070-super-12-gb-video-card-prime-rtx4070s-o12g
Gigabyte EAGLE,N/A,Gigabyte,PCIe x16,1 x PCIe 8-pin + 1 x PCIe 6-pin,282,2,2,GeForce RTX 3070,8,GDDR6,1500,1725,220,Black / Silver,3 Fans,2,2,Standard,https://pcpartpicker.com/product/rgvqqs/gigabyte-geforce-rtx-3070-8-gb-eagle-video-card-gv-n3070eagle-8gd
Zotac GAMING Trinity OC,$1249.00+,Zotac,PCIe x16,1 x PCIe 16-pin 12VHPWR,307,2,3,GeForce RTX 4070 Ti,12,GDDR6X,2310,2625,285,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/vTbTwP/zotac-gaming-trinity-oc-geforce-rtx-4070-ti-12-gb-video-card-zt-d40710j-10p
Gigabyte GAMING OC,$264.99 ,Gigabyte,PCIe x16,1 x PCIe 8-pin,280,2,2,GeForce RTX 5050,8,GDDR6,2317,2632,130,Black,3 Fans,2,2,Standard,https://pcpartpicker.com/product/4m2j4D/gigabyte-gaming-oc-geforce-rtx-5050-8-gb-video-card-gv-n5050gaming-oc-8gd
Zotac GAMING Trinity OC,$1120.00+,Zotac,PCIe x16,2 x PCIe 8-pin,318,2,3,GeForce RTX 3080 10GB,10,GDDR6X,1440,1725,320,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/cx4BD3/zotac-geforce-rtx-3080-10-gb-gaming-trinity-oc-video-card-zt-a30800j-10p
