name,price,manufacturer,size,eps8PinCount,pcie6Plus2PinCount,pcie12PinCount,pcie16Pin12VHPWRCount,sataCount,lengthMm,atx4PinCount,pcie6PinCount,pcie8PinCount,ampMolex4PinCount,outputWattage,efficiencyRating,modularity,color,isFanless,URL
Thermaltake TR2,N/A,Thermaltake,ATX,1,4,0,0,8,160,0,0,0,4,700,N/A,No,N/A,FALSE,https://pcpartpicker.com/product/8DYXsY/thermaltake-power-supply-tr700
FSP Group VITA-1000GM,N/A,FSP Group,ATX,2,4,0,1,8,140,0,0,0,4,1000,80+ Gold,Full,White,FALSE,https://pcpartpicker.com/product/mwQKHx/fsp-group-vita-1000gm-1000-w-80-gold-certified-fully-modular-atx-power-supply-vita-1000gm-white-edition
Chieftec PowerPlay GPU-FC,N/A,Chieftec,ATX,2,6,0,0,9,160,0,0,0,3,850,80+ Platinum,Full,Black / Red,FALSE,https://pcpartpicker.com/product/JYh2FT/chieftec-powerplay-gpu-fc-850-w-80-platinum-certified-fully-modular-atx-power-supply-gpu-850fc
Corsair G700,N/A,Corsair,ATX,1,2,0,0,6,160,0,0,0,8,700,80+,No,N/A,FALSE,https://pcpartpicker.com/product/9KtCmG/corsair-g700-700-w-80-certified-atx-power-supply-cmpsu-700g
Thermaltake Smart BX1 RGB 550,N/A,Thermaltake,ATX,1,2,0,0,6,140,0,0,0,2,550,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/rwfhP6/thermaltake-smart-bx1-rgb-550-550-w-80-bronze-certified-atx-power-supply-ps-spr-0550nhfabu-1
Antec High Current Pro,N/A,Antec,ATX,2,4,0,0,9,180,0,0,0,6,750,80+ Gold,Semi,N/A,FALSE,https://pcpartpicker.com/product/XQH323/antec-power-supply-hcp750
Rosewill ARC 750,N/A,Rosewill,ATX,1,4,0,0,6,165,0,0,0,4,750,80+ Bronze,No,N/A,FALSE,https://pcpartpicker.com/product/fXCwrH/rosewill-power-supply-arc750
Thermaltake TR2,N/A,Thermaltake,ATX,1,2,0,0,6,140,0,0,0,4,600,80+ Bronze,No,N/A,FALSE,https://pcpartpicker.com/product/zLrcCJ/thermaltake-power-supply-pstr20600npcbusb
Cougar BXM850,N/A,Cougar,ATX,2,6,0,0,8,160,0,0,0,3,850,80+ Bronze,Semi,Orange / Black,FALSE,https://pcpartpicker.com/product/wfCFf7/cougar-bxm850-850-w-80-bronze-certified-semi-modular-atx-power-supply-bxm850
be quiet! Straight Power 10,N/A,be quiet!,ATX,1,4,0,0,9,160,0,0,0,3,600,80+ Gold,No,N/A,FALSE,https://pcpartpicker.com/product/qQqbt6/be-quiet-power-supply-bn232
be quiet! Straight Power 10,N/A,be quiet!,ATX,1,2,0,0,9,160,0,0,0,3,500,80+ Gold,No,N/A,FALSE,https://pcpartpicker.com/product/KdmxFT/be-quiet-power-supply-bn231
FSP Group HYPER S,N/A,FSP Group,ATX,1,2,0,0,6,140,0,0,0,3,500,80+,No,Black,FALSE,https://pcpartpicker.com/product/TNFmP6/fsp-group-hyper-s-500-w-80-certified-atx-power-supply-hp500s
SHARKOON Rebel P30 Gold,N/A,SHARKOON,ATX,2,4,0,1,12,160,0,0,0,2,1000,80+ Gold,Full,White,FALSE,https://pcpartpicker.com/product/nD9wrH/sharkoon-rebel-p30-gold-1000-w-80-gold-certified-fully-modular-atx-power-supply-rebel-p30-gold-white-1000-w
Enermax Revolution D.F. 12,N/A,Enermax,ATX,2,3,0,1,8,122,0,0,0,4,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/swvD4D/enermax-revolution-df-12-750-w-80-gold-certified-fully-modular-atx-power-supply-etv750g
Deepcool PX1300P,N/A,Deepcool,ATX,2,5,0,2,8,160,0,0,0,4,1300,80+ Platinum,Full,Black / Silver,FALSE,https://pcpartpicker.com/product/dGMMnQ/deepcool-px1300p-1300-w-80-platinum-certified-fully-modular-atx-power-supply-r-pxd00p-fc0b-us
Xilence XP1050MR9.2,$375.00+,Xilence,ATX,1,3,0,1,12,180,1,0,0,4,1050,80+ Gold,Full,Black / Red,FALSE,https://pcpartpicker.com/product/TLZXsY/xilence-xp1050mr92-1050-w-80-gold-certified-fully-modular-atx-power-supply-xn176
Enermax MarbleBron,N/A,Enermax,ATX,2,4,0,0,8,140,0,0,0,4,750,80+ Bronze,Semi,Black,FALSE,https://pcpartpicker.com/product/y9VG3C/enermax-marblebron-750-w-80-bronze-certified-semi-modular-atx-power-supply-emb750ewt
Xilence XP1250MR9.2,N/A,Xilence,ATX,1,3,0,1,12,180,1,0,0,4,1250,80+ Gold,Full,Black / Red,FALSE,https://pcpartpicker.com/product/ZMhv6h/xilence-xp1250mr92-1250-w-80-gold-certified-fully-modular-atx-power-supply-xn178
Thermaltake Toughpower Grand RGB 650 SE,N/A,Thermaltake,ATX,1,4,0,0,9,160,0,0,0,4,650,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/LQx2FT/thermaltake-toughpower-grand-rgb-sync-edition-650w-80-gold-certified-fully-modular-fanless-atx-power-supply-ps-tpg-0650fpcgus-s
KOLINK Continuum V2,N/A,KOLINK,ATX,2,12,0,0,8,180,0,0,0,8,1200,80+ Platinum,Full,Black,FALSE,https://pcpartpicker.com/product/G2CZxr/kolink-continuum-v2-1200-w-80-platinum-certified-fully-modular-atx-power-supply-kl-c1200pl-b
PREYON Eagle Power Gaming,N/A,PREYON,ATX,2,6,0,1,6,140,0,0,0,3,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/Zjbypg/preyon-eagle-power-gaming-850-w-80-gold-certified-fully-modular-atx-power-supply-pepg850w
Chieftec SILICON,N/A,Chieftec,ATX,1,4,0,0,6,160,0,0,0,3,650,80+ Bronze,Full,Black / Red,FALSE,https://pcpartpicker.com/product/x9Pv6h/chieftec-silicon-650-w-80-bronze-certified-fully-modular-atx-power-supply-slc-650c
PC Cooler YS1200,N/A,PC Cooler,ATX,2,3,0,1,12,160,0,0,0,3,1200,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/QN62FT/pc-cooler-ys1200-1200-w-80-gold-certified-fully-modular-atx-power-supply-p5-ys1200-g1ffbk1-us
EVGA 510 BP,N/A,EVGA,ATX,1,2,0,0,6,120,0,0,0,3,510,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/HHH7YJ/evga-510-bp-510-w-80-bronze-certified-atx-power-supply-100-bp-0510-k1
Rosewill HIVE,N/A,Rosewill,ATX,2,4,0,0,8,160,0,0,0,6,850,80+ Bronze,Full,N/A,FALSE,https://pcpartpicker.com/product/wf7CmG/rosewill-power-supply-hive850s
Rosewill Capstone,N/A,Rosewill,ATX,1,4,0,0,8,163,0,0,0,5,750,80+ Gold,No,N/A,FALSE,https://pcpartpicker.com/product/32dqqs/rosewill-power-supply-capstone750
Thermaltake Smart,N/A,Thermaltake,ATX,1,2,0,0,6,139,0,0,0,4,550,80+ Bronze,No,N/A,FALSE,https://pcpartpicker.com/product/694gXL/thermaltake-smart-550-w-80-bronze-certified-atx-power-supply-sp-550pcbus
Cougar SL500,N/A,Cougar,ATX,1,1,0,0,4,139,0,1,0,2,500,N/A,No,N/A,FALSE,https://pcpartpicker.com/product/fqCwrH/cougar-power-supply-sl500
Cooler Master Silent Pro Gold,N/A,Cooler Master,ATX,2,4,0,0,9,180,0,4,0,4,1000,80+ Gold,Semi,N/A,FALSE,https://pcpartpicker.com/product/PHg323/cooler-master-power-supply-rsa0080gad3us
Cooler Master Silent Pro M,N/A,Cooler Master,ATX,2,6,0,0,9,165,0,0,0,6,1000,80+ Bronze,Semi,N/A,FALSE,https://pcpartpicker.com/product/JHg323/cooler-master-power-supply-rsa00ambaj3us
Corsair VX550,N/A,Corsair,ATX,1,1,0,0,6,N/A,1,1,0,6,550,80+,No,N/A,FALSE,https://pcpartpicker.com/product/ZdQypg/corsair-vx550-550-w-80-certified-atx-power-supply-cmpsu-550vx
Thermaltake TR2,N/A,Thermaltake,ATX,1,2,0,0,7,139,0,2,0,7,800,80+,No,N/A,FALSE,https://pcpartpicker.com/product/hNmLrH/thermaltake-power-supply-tr800p
SeaSonic X,N/A,SeaSonic,ATX,1,2,0,0,6,160,0,0,0,5,400,80+ Gold,Full,N/A,TRUE,https://pcpartpicker.com/product/DsNp99/seasonic-power-supply-ss400fl
Raidmax XT,N/A,Raidmax,ATX,1,1,0,0,5,140,0,1,0,2,500,N/A,No,N/A,FALSE,https://pcpartpicker.com/product/QRGj4D/raidmax-power-supply-rx500xt
Thermaltake Toughpower GF A3 - TT Premium Edition,N/A,Thermaltake,ATX,2,4,0,1,8,140,0,0,0,4,650,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/Kh3NnQ/thermaltake-toughpower-gf-a3-tt-premium-edition-650-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0650fnfagu-l
Cougar LX500,N/A,Cougar,ATX,1,2,0,0,5,140,0,0,0,3,500,80+ Bronze,Full,Black,FALSE,https://pcpartpicker.com/product/VryxFT/cougar-lx-500w-80-bronze-certified-fully-modular-atx-power-supply-31td0500026
Cooler Master MWE BRONZE 550 V3,N/A,Cooler Master,ATX,2,2,0,0,6,140,0,0,0,3,550,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/D8pQzy/cooler-master-mwe-bronze-550-v3-550-w-80-bronze-certified-atx-power-supply-mpe-5501-acaaw-3bus
Raidmax Cobra,N/A,Raidmax,ATX,1,2,0,0,6,165,0,0,0,3,600,80+ Gold,Semi,N/A,FALSE,https://pcpartpicker.com/product/vmrcCJ/raidmax-cobra-600w-80-gold-certified-semi-modular-atx-power-supply-rx-600ae-b
Super Flower Leadex III Super Pro,N/A,Super Flower,ATX,2,4,0,0,6,150,0,0,0,4,650,80+ Bronze,Full,Black,FALSE,https://pcpartpicker.com/product/GH2WGX/super-flower-leadex-iii-super-pro-650-w-80-bronze-certified-fully-modular-atx-power-supply-sf-650r14he
Cooler Master Silent Pro M2,N/A,Cooler Master,ATX,1,4,0,0,9,162,0,0,0,5,620,80+ Bronze,Semi,N/A,FALSE,https://pcpartpicker.com/product/t7V48d/cooler-master-power-supply-rs620spm2e3us
FSP Group Hyper M,N/A,FSP Group,ATX,1,4,0,0,9,165,0,0,0,4,700,80+,Semi,Black,FALSE,https://pcpartpicker.com/product/JctKHx/fsp-group-hyper-m-700-w-80-certified-semi-modular-atx-power-supply-mf700ms
be quiet! Dark Power Pro 11,N/A,be quiet!,ATX,2,4,0,0,8,180,0,1,0,5,550,80+ Platinum,Semi,N/A,FALSE,https://pcpartpicker.com/product/x4s8TW/be-quiet-power-supply-bn250
Corsair VS600,N/A,Corsair,ATX,1,0,0,0,7,140,0,2,0,2,600,80+,No,N/A,FALSE,https://pcpartpicker.com/product/Z4Jkcf/corsair-vs600-600-w-80-certified-atx-power-supply-cp-9020119-na
Antec High Current Gamer,N/A,Antec,ATX,1,4,0,0,9,170,0,0,0,6,750,80+ Bronze,Semi,N/A,FALSE,https://pcpartpicker.com/product/bhV48d/antec-power-supply-hcg750m
KOLINK KL-600M,N/A,KOLINK,ATX,1,2,0,0,4,140,0,0,0,3,600,80+ Bronze,Semi,Black,FALSE,https://pcpartpicker.com/product/gZyH99/kolink-kl-600m-600-w-80-bronze-certified-semi-modular-atx-power-supply-kl-600m
Cooler Master V Gold,N/A,Cooler Master,ATX,2,4,0,0,12,160,0,0,0,4,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/KnsmP6/cooler-master-v-gold-750-w-80-gold-certified-fully-modular-atx-power-supply-mpy-7501-afaagv
FSP Group Raider 650,N/A,FSP Group,ATX,1,2,0,0,6,139,0,0,0,3,650,80+ Bronze,No,N/A,FALSE,https://pcpartpicker.com/product/bfw323/fsp-group-power-supply-raider650
Corsair TX650 V2,N/A,Corsair,ATX,1,2,0,0,8,160,0,0,0,8,650,80+ Bronze,No,N/A,FALSE,https://pcpartpicker.com/product/Z4fp99/corsair-tx650-v2-650-w-80-bronze-certified-atx-power-supply-cmpsu-650txv2
Rosewill LEPTON 600,N/A,Rosewill,ATX,1,2,0,0,6,140,0,0,0,4,600,80+ Gold,Semi,Black,FALSE,https://pcpartpicker.com/product/J2x2FT/rosewill-600w-80-gold-certified-semi-modular-atx-power-supply-lepton-600
SeaSonic X,N/A,SeaSonic,ATX,1,4,0,0,8,160,0,0,0,5,660,80+ Gold,Full,N/A,FALSE,https://pcpartpicker.com/product/qkQypg/seasonic-power-supply-x660gold
Cooler Master Elite NEX White W700,N/A,Cooler Master,ATX,1,2,0,0,5,140,0,0,0,3,700,80+,No,Black,FALSE,https://pcpartpicker.com/product/fkWmP6/cooler-master-elite-nex-white-w700-700-w-80-certified-atx-power-supply-mpw-7001-acaw-b
Silverstone Essential,N/A,Silverstone,ATX,1,4,0,0,8,140,0,0,0,3,650,80+ Gold,No,Black,FALSE,https://pcpartpicker.com/product/Dr3H99/silverstone-essential-650-w-80-gold-certified-atx-power-supply-sst-et650-g
